test,duration_ms
client,440.213
cloud,450490.902
enclave,48848.091
client,587.111
cloud,460971.034
enclave,49162.048
client,435.181
cloud,61022.498
enclave,48926.483
client,901.457
cloud,61690.169
enclave,49246.349
client,378.744
cloud,61761.503
enclave,49370.333
client,351.767
cloud,61272.651
enclave,49012.287
client,166.344
cloud,61310.57
enclave,48992.662
client,235.814
cloud,60954.014
enclave,48941.615
client,1905.383
cloud,61142.293
enclave,48825.031
client,173.722
cloud,61351.775
enclave,49055.905
client,267.103
cloud,61235.935
enclave,48824.302
client,340.096
cloud,61149.047
enclave,48899.441
client,336.566
cloud,60898.672
enclave,48785.648
client,900.338
cloud,61112.967
enclave,48941.535
client,358.993
cloud,61180.01
enclave,48830.853
client,485.522
cloud,61000.242
enclave,48784.109
client,225.645
cloud,61177.865
enclave,48804.672
client,344.24
cloud,61562.922
enclave,48859.657
client,589.869
cloud,61203.554
enclave,48970.974
client,163.564
cloud,61310.164
enclave,48980.402
client,1029.463
cloud,60946.791
enclave,48787.855
client,644.289
cloud,61133.156
enclave,48812.655
client,582.359
cloud,60913.399
enclave,48755.742
client,357.617
cloud,61152.422
enclave,48814.24
client,823.243
cloud,61010.178
enclave,48858.865
client,777.882
cloud,61301.654
enclave,48982.75
client,667.345
cloud,61375.365
enclave,48859.221
client,630.759
cloud,61018.127
enclave,48761.453
client,338.744
cloud,61260.035
enclave,48863.359
client,414.699
cloud,61213.147
enclave,48942.234
client,328.081
cloud,61054.394
enclave,48782.228
client,534.496
cloud,61222.576
enclave,48995.756
client,568.466
cloud,60992.225
enclave,48820.846
client,388.759
cloud,61307.501
enclave,48929.192
client,706.17
cloud,60996.664
enclave,48815.184
client,708.227
cloud,61192.777
enclave,49001.946
client,196.992
cloud,61394.061
enclave,48962.67
client,642.278
cloud,61069.887
enclave,48793.032
client,387.566
cloud,61169.868
enclave,48783.582
client,134.284
cloud,61010.573
enclave,48847.853
client,547.961
cloud,61282.524
enclave,48918.962
client,392.69
cloud,61010.713
enclave,48918.559
client,880.931
cloud,60882.883
enclave,48794.326
client,592.141
cloud,61283.264
enclave,48882.997
client,110.158
cloud,61130.29
enclave,48840.371
client,176.421
cloud,61065.994
enclave,48836.233
client,401.987
cloud,61309.529
enclave,48921.463
client,390.193
cloud,60997.777
enclave,48682.067
client,133.778
cloud,61280.735
enclave,48995.448
client,860.758
cloud,61395.962
enclave,48890.155
client,286.125
cloud,61502.36
enclave,49053.747
