test,duration_ms
client,17.119
cloud,37.983
enclave,1.546
client,18.042
cloud,40.097
enclave,1.539
client,17.961
cloud,39.389
enclave,1.538
client,17.372
cloud,39.639
enclave,1.545
client,18.484
cloud,40.09
enclave,1.54
client,17.703
cloud,40.446
enclave,1.543
client,17.24
cloud,39.715
enclave,1.554
client,17.248
cloud,40.054
enclave,1.541
client,17.74
cloud,40.405
enclave,1.553
client,17.433
cloud,39.795
enclave,1.536
client,17.658
cloud,40.516
enclave,1.549
client,17.47
cloud,63.091
enclave,1.534
client,17.978
cloud,44.338
enclave,1.551
client,17.188
cloud,40.132
enclave,1.537
client,16.903
cloud,39.026
enclave,1.533
client,18.305
cloud,40.314
enclave,1.534
client,17.129
cloud,39.112
enclave,1.533
client,17.059
cloud,40.255
enclave,1.564
client,17.314
cloud,39.374
enclave,1.544
client,18.773
cloud,38.757
enclave,1.567
client,17.608
cloud,39.594
enclave,1.538
client,17.001
cloud,40.444
enclave,1.597
client,16.915
cloud,40.278
enclave,1.563
client,17.598
cloud,38.799
enclave,1.547
client,17.382
cloud,38.704
enclave,1.546
client,17.76
cloud,39.237
enclave,1.537
client,17.047
cloud,40.631
enclave,1.564
client,17.107
cloud,40.174
enclave,1.549
client,17.046
cloud,41.389
enclave,1.547
client,17.152
cloud,40.128
enclave,1.537
client,17.597
cloud,39.426
enclave,1.55
client,17.263
cloud,39.876
enclave,1.546
client,16.858
cloud,40.086
enclave,1.566
client,17.621
cloud,39.169
enclave,1.554
client,16.658
cloud,40.348
enclave,1.55
client,16.867
cloud,39.684
enclave,1.546
client,16.454
cloud,41.072
enclave,1.536
client,17.634
cloud,38.867
enclave,1.537
client,18.293
cloud,38.237
enclave,1.53
client,17.335
cloud,38.418
enclave,1.552
client,17.994
cloud,39.618
enclave,1.537
client,17.315
cloud,39.584
enclave,1.535
client,17.165
cloud,39.746
enclave,1.592
client,17.164
cloud,39.373
enclave,1.533
client,32.074
cloud,57.609
enclave,1.573
client,16.957
cloud,40.359
enclave,1.538
client,17.067
cloud,40.515
enclave,1.531
client,17.394
cloud,39.618
enclave,1.554
client,17.26
cloud,40.314
enclave,1.565
client,16.953
cloud,39.015
enclave,1.547
client,17.898
cloud,39.802
enclave,1.56
client,17.156
cloud,39.237
enclave,1.549
client,17.516
cloud,38.361
enclave,1.526
client,18.106
cloud,41.376
enclave,1.552
client,18.629
cloud,40.517
enclave,1.551
client,17.497
cloud,40.227
enclave,1.539
client,17.769
cloud,42.177
enclave,1.555
client,17.318
cloud,41.135
enclave,1.547
client,18.168
cloud,41.404
enclave,1.538
client,17.66
cloud,39.698
enclave,1.538
client,16.997
cloud,41.346
enclave,1.568
client,18.467
cloud,40.997
enclave,1.551
client,17.021
cloud,40.752
enclave,1.539
client,17.399
cloud,40.856
enclave,1.534
client,17.955
cloud,40.533
enclave,1.539
client,17.084
cloud,40.435
enclave,1.552
client,17.853
cloud,40.579
enclave,1.538
client,17.615
cloud,44.865
enclave,1.538
client,17.833
cloud,40.368
enclave,1.554
client,18.381
cloud,40.712
enclave,1.539
client,16.993
cloud,42.734
enclave,1.538
client,17.91
cloud,50.992
enclave,1.536
client,17.22
cloud,40.344
enclave,1.553
client,17.073
cloud,40.351
enclave,1.562
client,17.553
cloud,40.394
enclave,1.56
client,17.186
cloud,40.859
enclave,1.537
client,17.85
cloud,40.415
enclave,1.55
client,17.844
cloud,40.573
enclave,1.551
client,18.448
cloud,40.608
enclave,1.559
client,17.772
cloud,40.874
enclave,1.564
client,17.632
cloud,41.199
enclave,1.558
client,17.467
cloud,39.551
enclave,1.529
client,17.367
cloud,40.482
enclave,1.565
client,17.232
cloud,40.522
enclave,1.552
client,16.901
cloud,39.028
enclave,1.549
client,17.995
cloud,40.892
enclave,1.537
client,18.01
cloud,41.045
enclave,1.543
client,17.711
cloud,40.837
enclave,1.535
client,16.998
cloud,40.793
enclave,1.536
client,17.911
cloud,41.203
enclave,1.539
client,17.314
cloud,40.747
enclave,1.573
client,17.713
cloud,40.507
enclave,1.539
client,18.318
cloud,40.199
enclave,1.538
client,18.539
cloud,74.647
enclave,1.557
client,18.039
cloud,41.132
enclave,1.554
client,17.112
cloud,41.83
enclave,1.552
client,17.978
cloud,40.979
enclave,1.536
client,17.902
cloud,41.941
enclave,1.537
client,17.574
cloud,40.91
enclave,1.536
client,18.27
cloud,39.763
enclave,1.548
