test,duration_ms
client,1.413
cloud,18.139
client,1.196
cloud,18.727
client,1.362
cloud,26.064
client,1.505
cloud,33.553
client,1.868
cloud,28.403
client,1.149
cloud,18.694
client,1.008
cloud,18.578
client,0.988
cloud,18.376
client,1.007
cloud,18.745
client,1.376
cloud,18.244
client,1.064
cloud,18.31
client,1.04
cloud,18.469
client,0.942
cloud,18.603
client,1.023
cloud,18.449
client,1.068
cloud,19.319
client,0.869
cloud,18.94
client,1.034
cloud,19.423
client,1.102
cloud,19.377
client,1.069
cloud,17.874
client,1.085
cloud,18.853
client,1.026
cloud,19.449
client,1.14
cloud,19.062
client,1.074
cloud,19.296
client,0.965
cloud,19.177
client,0.95
cloud,18.952
client,0.954
cloud,19.789
client,1.272
cloud,19.234
client,1.076
cloud,19.6
client,1.304
cloud,20.202
client,1.347
cloud,18.839
client,1.257
cloud,19.011
client,1.294
cloud,19.138
client,1.015
cloud,19.04
client,1.03
cloud,19.318
client,0.944
cloud,19.804
client,1.064
cloud,19.292
client,0.928
cloud,18.985
client,1.336
cloud,19.248
client,1.136
cloud,19.094
client,1.277
cloud,19.352
client,1.6
cloud,19.57
client,1.102
cloud,19.274
client,0.931
cloud,19.519
client,0.965
cloud,18.937
client,1.084
cloud,18.813
client,1.142
cloud,19.475
client,1.093
cloud,19.397
client,0.947
cloud,19.431
client,1.085
cloud,19.401
client,1.109
cloud,19.594
client,0.973
cloud,19.803
client,1.536
cloud,20.661
client,0.926
cloud,18.756
client,1.204
cloud,19.203
client,1.382
cloud,18.88
client,1.029
cloud,19.152
client,0.984
cloud,19.238
client,0.99
cloud,19.64
client,1.027
cloud,18.576
client,1.22
cloud,18.948
client,1.121
cloud,19.352
client,1.107
cloud,19.249
client,1.015
cloud,19.294
client,1.009
cloud,18.963
client,1.34
cloud,19.588
client,0.911
cloud,19.151
client,0.988
cloud,19.678
client,1.127
cloud,19.607
client,1.216
cloud,19.463
client,1.044
cloud,19.801
client,1.412
cloud,19.563
client,1.166
cloud,20.256
client,1.035
cloud,19.33
client,0.992
cloud,19.508
client,1.662
cloud,18.86
client,1.001
cloud,19.001
client,1.21
cloud,19.048
client,1.509
cloud,18.998
client,1.063
cloud,18.509
client,1.262
cloud,18.56
client,1.191
cloud,19.264
client,1.182
cloud,18.78
client,0.905
cloud,18.702
client,1.088
cloud,18.287
client,0.947
cloud,18.948
client,1.108
cloud,18.868
client,1.097
cloud,18.861
client,0.975
cloud,18.834
client,1.026
cloud,19.562
client,1.085
cloud,19.117
client,1.048
cloud,19.076
client,1.431
cloud,18.467
client,0.923
cloud,19.076
client,1.153
cloud,19.058
client,0.998
cloud,19.027
client,1.016
cloud,19.234
client,1.306
cloud,18.875
client,1.149
cloud,30.825
client,1.322
cloud,39.347
client,1.327
cloud,20.046
