test,duration_ms
client,32.867
cloud,64.766
enclave,31.228
client,40.241
cloud,52.471
enclave,30.518
client,33.912
cloud,53.805
enclave,30.598
client,34.156
cloud,52.457
enclave,30.052
client,35.592
cloud,51.724
enclave,30.123
client,33.462
cloud,53.103
enclave,30.175
client,34.836
cloud,65.532
enclave,30.114
client,34.218
cloud,51.647
enclave,30.203
client,34.279
cloud,52.884
enclave,30.058
client,49.477
cloud,67.921
enclave,30.261
client,34.539
cloud,53.048
enclave,30.281
client,40.878
cloud,53.399
enclave,30.11
client,33.316
cloud,53.025
enclave,30.141
client,33.085
cloud,53.855
enclave,30.143
client,34.02
cloud,52.154
enclave,30.093
client,35.521
cloud,52.565
enclave,30.175
client,35.134
cloud,53.041
enclave,30.117
client,34.661
cloud,57.287
enclave,30.139
client,35.743
cloud,52.191
enclave,30.111
client,35.81
cloud,52.38
enclave,30.166
client,35.283
cloud,52.628
enclave,30.152
client,35.45
cloud,53.189
enclave,30.049
client,34.129
cloud,53.218
enclave,30.098
client,43.141
cloud,52.706
enclave,30.164
client,35.291
cloud,52.691
enclave,30.091
client,35.127
cloud,52.124
enclave,30.03
client,35.635
cloud,51.715
enclave,30.118
client,36.205
cloud,52.915
enclave,30.099
client,40.75
cloud,53.79
enclave,30.197
client,41.752
cloud,51.898
enclave,30.064
client,35.445
cloud,52.799
enclave,30.058
client,39.41
cloud,52.721
enclave,30.123
client,34.284
cloud,53.599
enclave,30.149
client,34.136
cloud,52.787
enclave,30.09
client,35.092
cloud,53.559
enclave,30.048
client,35.995
cloud,51.623
enclave,30.003
client,35.028
cloud,59.005
enclave,29.981
client,35.661
cloud,52.859
enclave,30.036
client,35.314
cloud,52.973
enclave,30.126
client,35.37
cloud,52.333
enclave,30.057
client,36.618
cloud,52.614
enclave,30.087
client,35.291
cloud,52.983
enclave,30.038
client,42.478
cloud,58.233
enclave,29.996
client,34.462
cloud,52.85
enclave,30.042
client,34.267
cloud,52.065
enclave,30.061
client,34.029
cloud,52.766
enclave,30.125
client,35.951
cloud,52.517
enclave,29.996
client,44.902
cloud,52.78
enclave,30.035
client,41.888
cloud,55.528
enclave,30.044
client,33.226
cloud,54.34
enclave,30.111
client,32.999
cloud,54.693
enclave,30.027
client,34.204
cloud,53.491
enclave,30.022
client,35.713
cloud,52.175
enclave,30.068
client,34.385
cloud,52.797
enclave,30.002
client,34.879
cloud,53.837
enclave,30.056
client,35.095
cloud,52.107
enclave,30.014
client,35.779
cloud,56.784
enclave,30.119
client,35.213
cloud,52.378
enclave,30.078
client,35.066
cloud,52.452
enclave,30.018
client,35.32
cloud,51.876
enclave,29.944
client,35.679
cloud,53.285
enclave,30.017
client,35.03
cloud,59.796
enclave,30.04
client,36.073
cloud,53.084
enclave,30.034
client,35.267
cloud,53.999
enclave,30.054
client,34.667
cloud,53.651
enclave,29.954
client,56.467
cloud,78.586
enclave,30.104
client,32.884
cloud,52.547
enclave,30.057
client,34.886
cloud,52.822
enclave,30.079
client,40.9
cloud,53.319
enclave,30.093
client,33.011
cloud,52.806
enclave,30.033
client,35.37
cloud,52.769
enclave,30.007
client,35.84
cloud,54.563
enclave,30.084
client,35.677
cloud,53.782
enclave,30.021
client,35.633
cloud,52.589
enclave,30.079
client,36.012
cloud,52.845
enclave,30.107
client,36.361
cloud,52.714
enclave,30.04
client,35.922
cloud,54.054
enclave,30.028
client,42.393
cloud,52.328
enclave,30.091
client,35.349
cloud,52.378
enclave,30.1
client,34.152
cloud,52.124
enclave,30.026
client,36.296
cloud,51.891
enclave,29.91
client,35.843
cloud,56.019
enclave,30.228
client,36.025
cloud,52.84
enclave,30.079
client,35.719
cloud,52.663
enclave,29.959
client,37.526
cloud,54.279
enclave,29.982
client,35.772
cloud,53.12
enclave,30.075
client,36.607
cloud,52.753
enclave,29.979
client,35.945
cloud,54.248
enclave,29.97
client,35.759
cloud,52.75
enclave,29.878
client,36.216
cloud,51.846
enclave,30.023
client,35.394
cloud,52.187
enclave,29.945
client,35.958
cloud,52.986
enclave,29.988
client,36.269
cloud,52.849
enclave,30.007
client,35.195
cloud,53.036
enclave,29.981
client,35.788
cloud,51.611
enclave,29.962
client,37.422
cloud,51.825
enclave,29.979
client,34.887
cloud,51.769
enclave,29.957
client,34.906
cloud,54.404
enclave,30.021
client,35.096
cloud,52.309
enclave,30.037
client,43.279
cloud,52.81
enclave,29.934
